
# From daily press releases at <https://www.berlin.de/sen/gpg/>
# Now somewhat obselete as Berlin has made available
# <https://berlin.de/corona/fallstatistik/>

# Date(1)  | doy | n_Berlin |  delta | ChWi  | FrKr | Li  |  MaHel | Mitte | Neuk | Pankow | Rei | Spa | StZe | TeSch | TrKö | Fatalities | Source
2020-03-01   61    1           1        0       0    0       1       0      0        0        0     0   0        0     pressemitteilung.901388.php
2020-03-02   62    3           2        0       0    1       2       0      0        0        0     0   0        0     pressemitteilung.901873.php
2020-04-20   111  5265	     40		620	427	198	221	803	555	551	419	219	445	538	269	97	presse923025.php
2020-04-21   112  5341	     76		630	428	202	232	807	572	560	424	220	448	544	274	105	presse923515.php
2020-04-22   113  5355	     14		630	436	202	238	807	572	560	424	220	448	544	274	105	presse924129.php
2020-04-23   114  5476	     121	646	441	204	250	823	585	574	434	220	456	560	283	112     pressemitteilung.924944.php
2020-04-24   115 	5532	56	646	446	208	262	826	585	583	436	227	459	566	288	113	pressemitteilung.925508.php	
2020-04-25   116	5607	75	654	451	212	267	826	612	593	436	228	461	576	291	123	pressemitteilung.925544.php
2020-04-26   117  5644	     37		659	452	219	268	835	612	594	441	229	463	576	296	125	https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.925578.php
2020-04-27   118  5677	     33		661	453	219	276	847	612	594	444	231	463	578	299	127	pressemitteilung.926136.php
2020-04-28   119  5738	     61		665	456	240	276	847	619	595	448	236	474	580	302	137	pressemitteilung.926694.php		
2020-04-29   120  5821	     83		672	460	241	289	861	632	600	451	236	485	587	307	147	https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.927214.php
2020-04-30   121  5881	     60		680	463	251	291	871	640	601	456	238	486	597	307	149	27844.php
2020-05-01   122  5936	     55		680	467	255	298	872	650	611	458	240	488	604	313	152  presse/2020/pressemitteilung.927927.php
2020-05-02   123  5970	     34		682	468	258	303	875	661	611	462	240	491	605	313	154	/sen/gpg/service/presse/2020/pressemitteilung.927951.php
2020-05-03   124  6004	     34		683	468	259	308	879	661	619	464	240	495	614	314	154	presse.927973.php
2020-05-04   125  6036	     32		687	469	259	312	882	661	621	467	245	501	613	319	154	pressemitteilung.928297.php

# Notes:
#  (1) Date of Pressemitteilung. Until 15.03.2020, numbers reported
#      were generally for the *previous* day.
#  (2) Recovered ("genesen") numbers started around 2020-03-28.
#  (3) Why is there -2 for Spandau on 2020-04-13?
#  (4) "Technische Umstellungen in der Meldesoftware" on 22.04.20
